Using device cuda:6
0 7665.247894287109 5.911714962550572
1 7347.16565322876 4.4867613315582275
2 6322.387088775635 3.4883096558707103
3 4859.951303482056 2.9381986686161587
4 4222.646864891052 2.690221003123692
5 3803.271143913269 2.4173171860831126
6 3499.5996894836426 2.3038036142076765
7 3254.245653152466 2.1383017812456404
8 3057.0387926101685 2.0562399455479214
9 2896.5881309509277 1.8727383783885412
10 2761.3505907058716 1.8580764532089233
11 2642.754002571106 1.7394746371677943
12 2540.2950077056885 1.7298360211508614
13 2449.503917694092 1.6433349336896623
14 2365.3437452316284 1.581419519015721
15 2288.448154449463 1.5625197035925729
16 2222.545536994934 1.5098322970526559
17 2161.7369651794434 1.4729881627219064
18 2105.2994356155396 1.4491221904754639
19 2052.7577991485596 1.388287799698966
20 2007.076877117157 1.3946794782366072
21 1962.4575295448303 1.3356527771268571
22 1920.4806418418884 1.3226181779588972
23 1883.5425963401794 1.279780421938215
24 1848.5302052497864 1.2548428092684065
25 1815.6061844825745 1.2184114626475744
26 1783.3214883804321 1.2198073182787215
27 1754.3061938285828 1.2144046851566859
28 1731.3036661148071 1.199478166443961
29 1700.3924679756165 1.1875925404684884
30 1677.067813873291 1.1463757242475237
31 1655.1277770996094 1.1142175367900304
32 1628.6356983184814 1.143091014453343
33 1610.4212226867676 1.1387299980436052
34 1589.841872215271 1.0936958874974931
35 1567.1428661346436 1.0835204890796117
36 1549.8064985275269 1.1155571000916618
37 1532.983826160431 1.063784429005214
38 1516.5153827667236 1.0404587728636605
39 1499.2315163612366 1.0368294630731856
40 1484.3045272827148 1.0045406988688879
41 1467.8525776863098 1.0256712436676025
42 1451.2179679870605 1.0223707812173026
43 1434.4996271133423 1.0018632837704249
44 1423.5820565223694 0.9775022608893258
45 1409.4218878746033 0.9669561897005353
46 1394.811863899231 0.961119362286159
47 1384.6510362625122 0.9601779920714242
48 1372.3135967254639 0.9467894094330924
49 1360.2067294120789 0.942017138004303
50 1347.5211515426636 0.9381465486117772
51 1335.7759418487549 0.9173349056925092
52 1322.9429450035095 0.9102145688874381
53 1313.3738861083984 0.9337986792836871
54 1305.6886143684387 0.8965024266924176
55 1292.4263606071472 0.8858996714864459
56 1282.364625453949 0.9083952137402126
57 1273.1920166015625 0.8719260777745929
58 1261.4328951835632 0.8534302541187831
59 1256.4599866867065 0.8767811911446708
60 1243.3756942749023 0.8687112586838859
61 1235.5890135765076 0.8678138256072998
62 1223.851622581482 0.8818565011024475
63 1218.166377067566 0.8398082596915108
64 1212.271113872528 0.8262608477047512
65 1200.8519659042358 0.8176764079502651
66 1193.0161581039429 0.8511235288211277
67 1186.9429116249084 0.8454559360231672
68 1174.910792350769 0.8102352619171143
69 1169.116325378418 0.804800978728703
70 1159.777744293213 0.7984721405165536
71 1153.3429636955261 0.8114396503993443
72 1147.017035484314 0.8270837068557739
73 1139.2636423110962 0.7961753862244743
74 1134.2035484313965 0.8155471682548523
75 1125.9474704265594 0.7785458564758301
76 1119.0979890823364 0.7825046862874713
77 1114.5862247943878 0.7701017601149422
78 1102.874881029129 0.7703094482421875
79 1098.9301612377167 0.7648380483899798
80 1092.027001619339 0.772268567766462
81 1088.7746322154999 0.7505301237106323
82 1079.5653216838837 0.7482100469725472
83 1075.205376625061 0.7557409405708313
84 1068.3816595077515 0.7615866490772792
85 1064.5683629512787 0.7360997540610177
86 1057.678688287735 0.7228181106703622
87 1050.714961528778 0.7262959820883614
88 1047.651825428009 0.7339521220752171
89 1039.0813825130463 0.7043318152427673
90 1033.0877568721771 0.718710618359702
91 1031.1959557533264 0.7121659006391253
92 1024.4664692878723 0.7073306867054531
93 1017.9572763442993 0.7141672032220023
94 1010.8576138019562 0.7033305934497288
95 1008.376914024353 0.7207734499658857
96 1003.7545263767242 0.6871426446097237
97 997.189380645752 0.7124975579125541
98 998.166585445404 0.6939007725034442
99 985.5213122367859 0.6776905911309379
100 987.0870275497437 0.6938518966947284
101 977.7052938938141 0.6890660354069301
102 975.2111892700195 0.677933326789311
103 970.2947423458099 0.6923237613269261
104 964.8883426189423 0.6711407814707074
105 961.2532877922058 0.6629019124167306
106 955.8679172992706 0.6619924817766462
107 952.2816956043243 0.6612894790513175
108 947.1059393882751 0.6542982033320835
109 944.8048586845398 0.6607944880213056
110 939.7470481395721 0.6419801882335118
111 935.538941860199 0.6420859183583941
112 931.2916564941406 0.6560120667730059
113 929.0481686592102 0.6556560141699654
114 923.4622683525085 0.667491751057761
115 920.7869794368744 0.6274349178586688
116 915.7837874889374 0.6542088644845145
117 911.3387563228607 0.6418963330132621
118 909.1889626979828 0.6246719700949532
119 903.31121301651 0.6349707586424691
120 902.480390548706 0.6227268491472516
121 894.3641591072083 0.630591196673257
122 892.0950117111206 0.6161926644189017
123 888.2857475280762 0.6011153714997428
124 887.5158531665802 0.624667261328016
125 882.4857354164124 0.63612071956907
126 880.1131465435028 0.6227223702839443
127 876.0625483989716 0.610795829977308
128 873.0880312919617 0.6046203460012164
129 868.7093138694763 0.6006654841559274
130 867.4136350154877 0.610961207321712
131 862.2535057067871 0.6171646203313556
132 859.8312473297119 0.587756769997733
133 855.2416517734528 0.6140374967030117
134 851.9817633628845 0.5824929901531765
135 848.385397195816 0.5976659229823521
136 846.3024001121521 0.5974089162690299
137 846.1454493999481 0.5813429440770831
138 840.7841765880585 0.5754676461219788
139 838.1657843589783 0.5741581746510097
140 832.6642761230469 0.5761600860527584
141 833.8889846801758 0.5714877460684095
142 826.4045705795288 0.5644993356295994
143 825.2390739917755 0.6054819311414447
144 823.4734752178192 0.570006958075932
145 820.8605875968933 0.5570461920329502
146 819.6466283798218 0.5856120671544757
147 812.6315405368805 0.5566982243742261
148 811.1157684326172 0.5629587599209377
149 810.9598438739777 0.5560932755470276
150 807.7467560768127 0.5602382932390485
151 804.8339085578918 0.5915912134306771
152 801.5214297771454 0.5482767650059291
153 799.2228722572327 0.5626327523163387
154 795.9231297969818 0.5602437385490963
155 792.9116203784943 0.5497352012566158
156 789.7423939704895 0.5478975219385964
157 789.3313024044037 0.5669700758797782
158 783.6409404277802 0.5486097974436623
159 782.6980049610138 0.5438793897628784
160 781.8871569633484 0.544757217168808
161 778.9826080799103 0.5575121981757027
162 777.6468663215637 0.5402873797076089
163 775.2351462841034 0.5285595655441284
164 771.8180065155029 0.5526317783764431
165 770.03742146492 0.5509288694177356
166 766.6407916545868 0.535481367792402
167 764.7054104804993 0.5439569439206805
168 762.1262464523315 0.5278906055859157
169 759.6439735889435 0.5293584678854261
170 757.047244310379 0.522254867213113
171 754.392599105835 0.5188551758016858
172 753.6050343513489 0.517393559217453
173 752.4018993377686 0.5341629130499703
174 750.3658826351166 0.5184719775404248
175 745.2553753852844 0.5305073048387255
176 745.2618682384491 0.5314820281096867
177 743.5400772094727 0.5213537897382464
178 739.122193813324 0.5206223215375628
179 737.5266363620758 0.5317033742155347
180 737.1194381713867 0.5258169770240784
181 734.609386920929 0.5129487131323133
182 733.006813287735 0.508453403200422
183 733.1763999462128 0.5153422142778125
184 727.7202227115631 0.5049004980495998
185 725.8082177639008 0.4899421717439379
186 725.9214355945587 0.5021039928708758
187 720.3494296073914 0.4999245064599173
188 719.3240399360657 0.4945885283606393
189 719.2083888053894 0.4938891955784389
190 715.8585951328278 0.48983854055404663
191 715.1679213047028 0.4923213337148939
