dataset,split,crps,rmse,nll
kin8nm,0,0.037294041365385056,0.06741779911809646,-1.3065128326416016
kin8nm,1,0.0368225984275341,0.06709100938808862,-1.3252731561660767
kin8nm,2,0.03602965548634529,0.06509973471179319,-1.3425737619400024
kin8nm,3,0.03593255206942558,0.06477145493753482,-1.3392887115478516
kin8nm,4,0.03662211820483208,0.066030720248943,-1.3172842264175415
kin8nm,5,0.03754088282585144,0.06872544026062942,-1.3137760162353516
kin8nm,6,0.037708718329668045,0.07006159028641802,-1.3010926246643066
kin8nm,7,0.03508903831243515,0.0629226764311051,-1.3637710809707642
kin8nm,8,0.035365618765354156,0.06402818441103841,-1.3674588203430176
kin8nm,9,0.03512514755129814,0.06418427836923817,-1.3724430799484253
kin8nm,10,0.035638101398944855,0.06473918492436799,-1.3555853366851807
kin8nm,11,0.03721185028553009,0.06821884287680621,-1.3108302354812622
kin8nm,12,0.03861811012029648,0.07046480703318561,-1.2685108184814453
kin8nm,13,0.03387857601046562,0.06120571338754695,-1.3944576978683472
kin8nm,14,0.03731595724821091,0.0682296100297505,-1.317875862121582
kin8nm,15,0.03627953678369522,0.06543908834533625,-1.3368773460388184
kin8nm,16,0.035037193447351456,0.06372807266472826,-1.3759500980377197
kin8nm,17,0.036283086985349655,0.06559416040625632,-1.3307545185089111
kin8nm,18,0.036345191299915314,0.06648573256001998,-1.3316819667816162
kin8nm,19,0.03518319129943848,0.06417076801118964,-1.373660683631897
bostonHousing,0,1.217119574546814,2.217040464487082,2.2953426837921143
bostonHousing,1,1.4373018741607666,2.711261301188573,2.364851236343384
bostonHousing,2,1.2981525659561157,2.326629158125746,2.2880547046661377
bostonHousing,3,1.4141442775726318,2.5606004140510157,2.435659646987915
bostonHousing,4,1.7902995347976685,3.827789914782924,2.4071879386901855
bostonHousing,5,1.2673434019088745,2.3523127477472277,2.211434841156006
bostonHousing,6,1.1816518306732178,2.136219475418142,2.1756534576416016
bostonHousing,7,1.517966389656067,3.367777832396512,2.3916540145874023
bostonHousing,8,1.9556329250335693,3.6188439022655903,2.9731290340423584
bostonHousing,9,2.1401755809783936,5.4240510734696645,2.5505564212799072
bostonHousing,10,1.8749890327453613,3.440348468030809,2.7612414360046387
bostonHousing,11,0.9622925519943237,1.690688547008357,2.0401158332824707
bostonHousing,12,1.2699390649795532,2.3995025953790323,2.231252670288086
bostonHousing,13,1.6043567657470703,3.3548006362919893,2.3532493114471436
bostonHousing,14,1.2605229616165161,2.367966224822608,2.151268720626831
bostonHousing,15,1.101812720298767,2.1189059219827056,2.0667836666107178
bostonHousing,16,1.5832620859146118,2.892495534723605,2.444697380065918
bostonHousing,17,1.668448805809021,3.2795822991758983,2.758972644805908
bostonHousing,18,1.3088418245315552,2.4813156003952113,2.2392117977142334
bostonHousing,19,2.0746476650238037,4.673559389147805,2.643632650375366
wine-quality-red,0,0.3510616719722748,0.6420026944852596,0.9422669410705566
wine-quality-red,1,0.35800987482070923,0.6342003520844901,0.9379629492759705
wine-quality-red,2,0.38521048426628113,0.7196044404189178,1.1431467533111572
wine-quality-red,3,0.33477410674095154,0.6273103688481202,0.8042346835136414
wine-quality-red,4,0.2991393208503723,0.5637527925883145,0.6582009792327881
wine-quality-red,5,0.35254955291748047,0.6473345510909704,0.998849093914032
wine-quality-red,6,0.3662770390510559,0.6812175541771923,0.8288499116897583
wine-quality-red,7,0.3911830186843872,0.6998828100132185,1.1660974025726318
wine-quality-red,8,0.31366458535194397,0.5790112635697884,0.7218780517578125
