dataset,split,rmse,nll
wine-quality-red,19,0.6654352043176202,-4.9976
kin8nm,0,0.0716310434132238,-1.2524
kin8nm,1,0.0741066273547861,-1.2375
kin8nm,2,0.0667385004026453,-1.3079
kin8nm,3,0.067164695124658,-1.3342
kin8nm,4,0.0685029807314618,-1.2995
kin8nm,5,0.070168938705942,-1.282
kin8nm,6,0.0722857232730137,-1.2802
kin8nm,7,0.0674676545204257,-1.3075
kin8nm,8,0.0691456565377848,-1.292
kin8nm,9,0.0707188130895207,-1.2941
kin8nm,10,0.0674860161764021,-1.3191
kin8nm,11,0.0684011243292044,-1.3145
kin8nm,12,0.0696972410789854,-1.2856
kin8nm,13,0.064598249713157,-1.3532
kin8nm,14,0.0694737137338073,-1.3
kin8nm,15,0.0675161415182074,-1.3114
kin8nm,16,0.0703723192972088,-1.2976
kin8nm,17,0.0690947436693919,-1.3028
kin8nm,18,0.0701389125471021,-1.2802
kin8nm,19,0.0680606874328456,-1.3443
energy,0,0.4205168601780322,0.6013
energy,1,0.5628169128790432,0.7176
energy,2,0.5060261875258841,0.582
energy,3,0.4585923153831697,0.5597
energy,4,0.6155084973952623,0.8186
energy,5,0.4745132302217326,0.6303
energy,6,0.5208172984670744,0.6863
energy,7,0.5575078683020356,0.6792
energy,8,0.5408157222112104,0.6712
energy,9,0.4741125045495102,0.5244
energy,10,0.4915569484387397,0.6631
energy,11,0.4293751521608888,0.5129
energy,12,0.5968390240106387,0.7067
energy,13,0.4798061554676864,0.6444
energy,14,0.5280267529451429,0.5113
energy,15,0.4441561522612929,0.6714
energy,16,0.6078558885692957,0.7877
energy,17,0.4765999457695166,0.6029
energy,18,0.5388528544543261,0.6625
energy,19,0.5580888268411057,0.7071
