dataset,split,rmse,nll
power-plant,15,3.703391665777123,2.6800972811477517
power-plant,16,3.6729574512671515,2.7226483114888302
power-plant,17,3.6308513744158306,2.6321995164198304
power-plant,18,3.841795517400891,2.7044633371648343
power-plant,19,4.216292087076147,2.794064724853502
concrete,0,5.907284590764288,3.217709657979679
concrete,1,5.861722606322421,3.056478022039339
concrete,2,4.99966891343953,3.090689005086652
concrete,3,6.1941201561735495,3.2910360556578286
concrete,4,6.207972492615332,3.6863888872955437
concrete,5,5.159886337572591,3.033437553772058
concrete,6,6.80777785534252,3.343872960653836
concrete,7,5.184419832138462,3.280168068997109
concrete,8,4.831582374083385,2.832734661768511
concrete,9,4.991334007956062,2.9914283709860507
concrete,10,4.255730776005528,2.722582651736171
concrete,11,5.291558702255268,3.715543412668118
concrete,12,5.203954531756958,2.8656020863180647
concrete,13,5.507317126563389,3.0203321506390286
concrete,14,6.559705313298734,3.580283003656088
concrete,15,4.483409536469944,2.631073277054814
concrete,16,6.1887148330508115,3.1649674792776774
concrete,17,5.34368004096766,3.302864532903738
concrete,18,5.8352488641036055,2.991200256441812
concrete,19,4.657149338492358,2.9545525529634706
yacht,0,1.1144019307232964,-0.5343025447492229
yacht,1,1.9198133053646673,0.0015338488092388094
yacht,2,1.163267089584498,-0.4092116255203492
yacht,3,1.2715440222757632,-0.08799470791916082
yacht,4,1.0084226071597808,-0.6075141447884354
yacht,5,0.5683559827168542,-0.723752816485482
yacht,6,0.17518289815659743,-0.6526923941273144
yacht,7,1.1209785162830297,-0.4622190699009617
yacht,8,0.540800525550954,-0.5651917108893868
yacht,9,0.48044703530154237,-0.6575217258080472
yacht,10,0.8764647003486408,-0.1414244861609637
yacht,11,1.8976022998669388,-0.019334994314196323
yacht,12,2.7260918137651418,0.12240157407352044
yacht,13,1.1584478274084244,-0.20703609396984748
yacht,14,1.2946806597672542,-0.08632110322440571
yacht,15,0.563790056436734,-0.7443845901183077
yacht,16,1.1649942408973544,-0.28438469579623177
yacht,17,2.023863622246915,-0.12319840041832203
yacht,18,1.2838906148337388,-0.38122320457543035
yacht,19,2.383411659475943,0.08280830245734123
naval-propulsion-plant,0,0.0003526837822814937,-5.926858059909334
naval-propulsion-plant,1,0.00039978856950976984,-6.0931003280489335
naval-propulsion-plant,2,0.0003337805999891274,-6.141019439058552
naval-propulsion-plant,3,0.00037480383923560803,-6.185778190715555
naval-propulsion-plant,4,0.00034589052859165055,-6.189439164924264
naval-propulsion-plant,5,0.00035752760336110794,-6.01332802483108
naval-propulsion-plant,6,0.0003129544852033006,-6.072431181315579
naval-propulsion-plant,7,0.00022197092348075315,-6.357140371621221
naval-propulsion-plant,8,0.00026673532928513105,-6.1852702471113465
naval-propulsion-plant,9,0.00030405926718472494,-6.158113061646351
naval-propulsion-plant,10,0.000332120476299968,-6.031955513329049
naval-propulsion-plant,11,0.0004131811495042282,-6.138922401491506
naval-propulsion-plant,12,0.0003289161676005961,-6.0681014411135745
naval-propulsion-plant,13,0.00044423413878083074,-6.196112278681671
naval-propulsion-plant,14,0.00022925871808110026,-6.283147571798628
naval-propulsion-plant,15,0.00026430021799689454,-6.219310303329251
naval-propulsion-plant,16,0.0003745081944148426,-6.015426361860671
naval-propulsion-plant,17,0.00024589462887592147,-6.066630262038875
naval-propulsion-plant,18,0.0003918055384934132,-5.923002824553946
naval-propulsion-plant,19,0.0003952824397388671,-6.110901363161885
energy,0,0.5793472168548183,0.47821977528656245
energy,1,0.5823678536058399,1.2493297573493527
energy,2,0.3575690712956264,0.23025219727862628
energy,3,0.45484127820995796,0.40404893664114994
energy,4,0.49018848328781967,0.6878642275093941
energy,5,0.5291761793356903,0.44618876338655605
energy,6,0.5002941031278766,0.367486478228966
energy,7,0.5008256088227705,0.3126625669530325
energy,8,0.5165257178210162,1.9432435264026309
energy,9,0.6568057726328604,0.2904540833369262
energy,10,0.35191961665215477,0.261494608576467
energy,11,0.4185754387886537,0.46566411668101765
energy,12,0.530239561629462,2.543060326734981
energy,13,0.6107902376825898,0.5221310529762022
energy,14,0.6328703465064858,0.753639853766827
energy,15,0.3823394016998976,0.34500736637536517
energy,16,0.588124530388442,2.18508740777917
energy,17,0.4958591581035519,0.4084342112268914
energy,18,0.7569304861861241,0.6527998690750658
energy,19,0.5212170416886005,0.5058677576422915
protein-tertiary-structure,0,4.14293713516577,2.670584327533524
protein-tertiary-structure,1,4.164938849781165,2.696267059975101
protein-tertiary-structure,2,4.06970549995898,2.5318415363705618
protein-tertiary-structure,3,4.059267575171088,2.5179165522017914
protein-tertiary-structure,4,4.032120689545065,2.7925179273296803
