dataset,split,test_crps,rmse,nll
energy,0,1.5305023193359375,3.0707370765399804,2.2852859497070312
energy,1,1.6010668277740479,3.1750876407091635,2.3669755458831787
energy,2,1.3801251649856567,2.7151464499356917,2.2361843585968018
energy,3,1.4946379661560059,2.921067233295582,2.3381245136260986
energy,4,1.6262385845184326,3.044085981871546,2.436281681060791
energy,5,1.2888027429580688,2.4932205785493595,2.1784629821777344
energy,6,1.6547698974609375,3.1714956874201654,2.3976175785064697
energy,7,1.756455659866333,3.4377034907365362,2.452333688735962
energy,8,1.283463478088379,2.4481625264388343,2.20149564743042
energy,9,1.619866967201233,3.343500431052206,2.3088486194610596
energy,10,1.6598553657531738,3.338518274535753,2.3404500484466553
energy,11,1.3542791604995728,2.778067149878382,2.246259927749634
energy,12,1.4987846612930298,2.9291438297631363,2.2708044052124023
energy,13,1.7658257484436035,3.526110394407669,2.4572935104370117
energy,14,1.475808024406433,2.89620334447722,2.3008358478546143
energy,15,1.4933172464370728,2.8967033195444714,2.336256265640259
energy,16,1.535812258720398,2.7643347710121517,2.408721446990967
energy,17,1.3143492937088013,2.6133701098378035,2.183150053024292
energy,18,1.3425993919372559,2.7451472380848077,2.2024097442626953
energy,19,1.776151180267334,3.615237276724254,2.44040846824646
protein-tertiary-structure,0,2.4222235679626465,4.880437899156633,2.604689359664917
protein-tertiary-structure,1,2.351977586746216,4.783682808863931,2.582982063293457
protein-tertiary-structure,2,2.3674912452697754,4.785040655491553,2.5969045162200928
protein-tertiary-structure,3,2.3395206928253174,4.7576339011660425,2.5648186206817627
protein-tertiary-structure,4,2.3357112407684326,4.753800528110069,2.6011571884155273
