dataset,split,rmse,nll
yacht,5,1.409787592013833,1.0357977612977503
yacht,6,0.3909377278109171,0.2478988924028846
yacht,7,3.6500995640072387,1.3920477403922935
yacht,8,0.9035137008920068,0.5239770536811648
yacht,9,0.9636931292847726,0.2102794052069567
yacht,10,1.4505677704964561,1.1987720234204964
yacht,11,1.056454561752529,0.6402310429623967
yacht,12,1.9228512099153443,0.3740631903916483
yacht,13,0.698558361981048,0.4772677112355387
yacht,14,0.8676416225693012,0.5627067970207406
yacht,15,1.5180344118213767,0.6815644263672701
yacht,16,2.093469526605037,0.9942131244360289
yacht,17,2.2272632903029943,0.7636472085287818
yacht,18,1.929960484892374,1.248565077035804
yacht,19,2.035252168315571,0.9125495553428579
naval-propulsion-plant,0,0.00045344385302014,-6.481374735616397
naval-propulsion-plant,1,0.0005615055498880536,-6.5021897306716845
naval-propulsion-plant,2,0.000302716927505557,-6.71513721954262
naval-propulsion-plant,3,0.00042757160019279706,-6.6086722748143245
naval-propulsion-plant,4,0.00042283975514034906,-6.67883629252873
naval-propulsion-plant,5,0.00033494011162921937,-6.599896509311205
naval-propulsion-plant,6,0.0004355378519914368,-6.579132599412077
naval-propulsion-plant,7,0.0004470490878820182,-6.585007768248991
naval-propulsion-plant,8,0.00035238962553549996,-6.642339555630271
naval-propulsion-plant,9,0.0005723472668993815,-6.620361385099871
naval-propulsion-plant,10,0.0006366802025381672,-6.413606629952913
naval-propulsion-plant,11,0.0002655852790942637,-6.85343778133895
naval-propulsion-plant,12,0.0004316872877207177,-6.577588502307214
naval-propulsion-plant,13,0.0003298135841417354,-6.565972631788202
naval-propulsion-plant,14,0.0006697656563547672,-6.500252573574488
naval-propulsion-plant,15,0.0006356241959461624,-6.410848871424818
naval-propulsion-plant,16,0.0004118264234031874,-6.456894227657501
naval-propulsion-plant,17,0.0002456613982573415,-6.746467764580921
naval-propulsion-plant,18,0.00031408810038822016,-6.817893889426112
naval-propulsion-plant,19,0.0007103738453749603,-6.518481108924092
energy,0,2.5109110811360984,1.9650145548588016
energy,1,2.079083678961667,4.447500513580694
energy,2,0.49274318108876,0.45249926340093605
energy,3,2.62189424591819,1.5717722713717888
energy,4,0.6061635451531663,1.3106777912107914
energy,5,1.692190521297134,1.1457198678677158
energy,6,0.5996589517509493,0.8312813130773905
energy,7,0.536555669422173,0.6754005436219358
energy,8,0.6241716646844545,1.9624743921098013
energy,9,0.5533911303745618,0.645758563709811
energy,10,2.6765335382602404,1.1694796683318527
energy,11,0.49262582256217674,1.1633294054781744
energy,12,1.7261665629050094,2.903563125211196
energy,13,0.5656822175868722,0.708983194742137
energy,14,2.675874067383594,1.3448163946766107
energy,15,0.614546487736895,0.6446744362570155
energy,16,2.0671272909419853,1.95953911556565
energy,17,2.5471133261395336,1.902575641505775
energy,18,1.9838166948998275,2.2260719362450962
energy,19,2.463475788794257,1.6503820669841394
protein-tertiary-structure,0,4.68652829141277,2.9352852707188357
protein-tertiary-structure,1,4.547418251632182,2.826144229122913
protein-tertiary-structure,2,4.487303405806536,2.787086143591875
protein-tertiary-structure,3,4.4670784448170195,2.764984640598217
protein-tertiary-structure,4,4.507167122704387,3.1129978762189605
