dataset,split,crps,rmse,nll
kin8nm,0,0.03647386282682419,0.06631660370910515,-1.3246692419052124
kin8nm,1,0.03713198006153107,0.06830966708943978,-1.3264362812042236
kin8nm,2,0.03552788496017456,0.06431719143802633,-1.3451673984527588
kin8nm,3,0.03560202196240425,0.06440098777871063,-1.3517552614212036
kin8nm,4,0.037409115582704544,0.06771215174373993,-1.2945388555526733
kin8nm,5,0.0372118204832077,0.06780602746169774,-1.3170289993286133
kin8nm,6,0.03734136372804642,0.06878098174488699,-1.311721682548523
kin8nm,7,0.03473057970404625,0.06213726078968991,-1.3652669191360474
kin8nm,8,0.035641495138406754,0.06543293631729336,-1.3614155054092407
kin8nm,9,0.03625372052192688,0.06583675043426464,-1.3312820196151733
kin8nm,10,0.03554627671837807,0.0645537349758072,-1.3565211296081543
kin8nm,11,0.035798437893390656,0.06532641345334228,-1.3436996936798096
kin8nm,12,0.037599727511405945,0.068302294196503,-1.2956708669662476
kin8nm,13,0.03507969528436661,0.06466414845576006,-1.3716298341751099
kin8nm,14,0.0369119867682457,0.06740058097977183,-1.318177580833435
kin8nm,15,0.03553768992424011,0.06381001552916228,-1.3541321754455566
kin8nm,16,0.03499646857380867,0.0638002286693345,-1.3679280281066895
kin8nm,17,0.035760827362537384,0.06465981677193297,-1.3478018045425415
kin8nm,18,0.036999139934778214,0.06740220108835117,-1.325697660446167
kin8nm,19,0.034584131091833115,0.063326055653399,-1.3843289613723755
bostonHousing,0,1.1626437902450562,2.2440365069134574,2.1346325874328613
bostonHousing,1,1.4726682901382446,2.723478305355567,2.4218950271606445
bostonHousing,2,1.1984988451004028,2.1858785887190444,2.1501710414886475
bostonHousing,3,1.4230140447616577,2.5506248718276643,2.3787083625793457
bostonHousing,4,1.4510807991027832,3.1789468938442234,2.215263605117798
bostonHousing,5,1.2051787376403809,2.1235138801496523,2.203563928604126
bostonHousing,6,1.113460659980774,2.0044255169460947,2.162022590637207
bostonHousing,7,1.4450322389602661,2.9420727788972396,2.3509016036987305
bostonHousing,8,1.6519193649291992,2.8964055179863166,2.585599184036255
bostonHousing,9,1.6736677885055542,4.067653966614449,2.3247740268707275
bostonHousing,10,1.8445866107940674,3.587949765818035,2.5623786449432373
bostonHousing,11,0.9989654421806335,1.780505443025843,2.0134968757629395
bostonHousing,12,1.2307769060134888,2.266689602885419,2.197108268737793
bostonHousing,13,1.5739609003067017,3.182416265184696,2.3507936000823975
bostonHousing,14,1.1215952634811401,2.0450413768285163,2.1154603958129883
bostonHousing,15,1.2904795408248901,2.611733929324392,2.1360979080200195
bostonHousing,16,1.7761746644973755,3.3687881948821805,2.5348973274230957
bostonHousing,17,1.5031065940856934,3.1574873812099393,2.427975654602051
bostonHousing,18,1.2149384021759033,2.352322984576542,2.18904447555542
bostonHousing,19,2.019987106323242,4.425449611429969,2.5732786655426025
wine-quality-red,0,0.3529422879219055,0.6478704707940314,0.8556380271911621
wine-quality-red,1,0.34447476267814636,0.6318616434377913,0.9327325224876404
wine-quality-red,2,0.38861414790153503,0.7201476812566756,1.2173486948013306
wine-quality-red,3,0.34549492597579956,0.6472582377516974,0.8663865327835083
wine-quality-red,4,0.3151625692844391,0.5893975142530404,0.7137109637260437
wine-quality-red,5,0.36321139335632324,0.6686799128517623,0.9921213388442993
wine-quality-red,6,0.35952645540237427,0.6700681965908427,0.8515307307243347
wine-quality-red,7,0.39781495928764343,0.7057468064884872,1.1126987934112549
wine-quality-red,8,0.31882545351982117,0.5816529087591061,0.7647708058357239
wine-quality-red,9,0.35283055901527405,0.6448043475858186,0.9559184908866882
wine-quality-red,10,0.35378217697143555,0.6469563262605968,0.8760645985603333
wine-quality-red,11,0.3716133236885071,0.6464347013538143,1.1358963251113892
wine-quality-red,12,0.3691973388195038,0.6889512393941098,0.982031524181366
wine-quality-red,13,0.3326408565044403,0.6203041815980718,0.8252599835395813
wine-quality-red,14,0.3416629731655121,0.6298525071061728,0.887214183807373
wine-quality-red,15,0.30977511405944824,0.5675617139508597,0.7227993607521057
wine-quality-red,16,0.32917430996894836,0.615455103439889,0.7635155916213989
wine-quality-red,17,0.33458051085472107,0.6103006326407426,0.8852745294570923
wine-quality-red,18,0.36576947569847107,0.6554048181939331,0.9318830370903015
wine-quality-red,19,0.3628246784210205,0.6729184630953624,0.8946325182914734
power-plant,0,2.2867629528045654,4.30972532490165,2.82504940032959
power-plant,1,2.17746901512146,3.928968359971511,2.7683749198913574
power-plant,2,2.219432830810547,4.106283090768731,2.7963106632232666
power-plant,3,2.280177354812622,4.281819549321772,2.823240280151367
power-plant,4,2.3727171421051025,4.330144417977533,2.8613991737365723
power-plant,5,2.2575619220733643,4.188104842045952,2.8091492652893066
power-plant,6,2.2480244636535645,4.0522079383238765,2.7998054027557373
power-plant,7,2.19016170501709,3.898841729927232,2.785489082336426
power-plant,8,2.2101898193359375,4.2317372795144115,2.7944793701171875
power-plant,9,2.254479169845581,4.0955440870559014,2.7942283153533936
power-plant,10,2.2481136322021484,4.031163177738128,2.807708501815796
power-plant,11,2.3006439208984375,4.312858677198039,2.8157308101654053
power-plant,12,2.176220417022705,3.944229430545496,2.7757527828216553
power-plant,13,2.246537685394287,4.123357734906076,2.802427053451538
power-plant,14,2.221252679824829,4.031993708651039,2.7831485271453857
power-plant,15,2.1896800994873047,3.942007119205729,2.7758431434631348
power-plant,16,2.1121108531951904,3.904819806541349,2.7355403900146484
power-plant,17,2.270275831222534,4.108704254759178,2.8093204498291016
power-plant,18,2.260430097579956,4.248033629648891,2.794440269470215
power-plant,19,2.283691883087158,4.385081637067333,2.814497947692871
concrete,0,2.6907200813293457,5.035887861110751,3.0086069107055664
concrete,1,2.9193670749664307,5.631564400180805,3.099747657775879
concrete,2,2.8833730220794678,5.495904264457491,3.009446859359741
concrete,3,2.843508243560791,5.36691083569822,3.220134973526001
concrete,4,3.238192319869995,6.078812195045733,3.3896710872650146
concrete,5,2.5484542846679688,4.808443019063253,2.915719747543335
concrete,6,3.341897964477539,6.3557643528558545,3.23081374168396
concrete,7,2.8522279262542725,5.386527895572007,3.086036443710327
concrete,8,2.55594801902771,4.77699998443776,2.957578182220459
concrete,9,2.723146915435791,5.11040876004084,3.0084586143493652
concrete,10,2.0533788204193115,3.9486232048174776,2.699104070663452
concrete,11,2.635427474975586,4.853923917057016,3.001452684402466
concrete,12,2.406559944152832,4.707803116822918,2.8804078102111816
concrete,13,2.5214173793792725,4.766156876697515,2.9219300746917725
concrete,14,3.2675046920776367,6.395669676170702,3.1696219444274902
concrete,15,2.179290533065796,4.452990506466817,2.7121949195861816
concrete,16,2.926069974899292,5.3949274115147,3.1638245582580566
concrete,17,2.4763851165771484,5.144434297266474,2.9820332527160645
concrete,18,2.972334623336792,6.221774645254208,3.2096798419952393
concrete,19,2.7970213890075684,5.720017923180303,3.1411232948303223
yacht,0,0.21182161569595337,0.6079718746123637,-0.010939505882561207
yacht,1,0.22106321156024933,0.5826851928184076,0.14773812890052795
yacht,2,0.22865155339241028,0.7375203000523778,0.03060048446059227
yacht,3,0.33614563941955566,0.8439336506223887,0.49383780360221863
yacht,4,0.22039207816123962,0.5698603575294456,0.1607639640569687
yacht,5,0.3451829254627228,1.1638674988724622,0.07078313827514648
yacht,6,0.14217333495616913,0.2881157293917658,-0.08725705742835999
yacht,7,0.17906774580478668,0.3920540989298464,-0.08926697075366974
yacht,8,0.22119195759296417,0.669661869051666,-0.09955380111932755
yacht,9,0.14986753463745117,0.3283585103523003,-0.13458436727523804
yacht,10,0.36418575048446655,0.7836912921655875,0.6081145405769348
yacht,11,0.42912524938583374,1.5246229987741604,0.2216789424419403
yacht,12,0.2693706154823303,0.8014778270950368,-0.021543456241488457
yacht,13,0.35149651765823364,1.0041016266100629,0.23661579191684723
yacht,14,0.4092208743095398,1.150735903673274,0.4259030520915985
yacht,15,0.22041553258895874,0.7249411674174555,-0.10093379765748978
yacht,16,0.1873232126235962,0.5482809250820585,-0.004628227557986975
yacht,17,0.2409714311361313,0.6847019477131261,0.07729122787714005
yacht,18,0.46897873282432556,1.4931972741973547,0.32677513360977173
yacht,19,0.3738855719566345,1.0757515254239263,0.2660873234272003
naval-propulsion-plant,0,0.00022627250291407108,0.0003651103618842792,-6.281704425811768
naval-propulsion-plant,1,0.00018421217100694776,0.00029357708550359357,-6.470198154449463
naval-propulsion-plant,2,0.00019267338211648166,0.0003281431285405999,-6.463479995727539
naval-propulsion-plant,3,0.00017206640040967613,0.0002683365890241324,-6.5112104415893555
naval-propulsion-plant,4,0.0003016232803929597,0.0004908365158984222,-5.998834609985352
naval-propulsion-plant,5,0.00020746879454236478,0.0003176200821149473,-6.330874443054199
naval-propulsion-plant,6,0.0002232508413726464,0.00034494651411072285,-6.276266098022461
naval-propulsion-plant,7,0.0002364326937822625,0.000351058384116435,-6.188209533691406
naval-propulsion-plant,8,0.00022444091155193746,0.00031784000079910515,-6.233578681945801
naval-propulsion-plant,9,0.00022836518473923206,0.00032552855060756427,-6.1945576667785645
naval-propulsion-plant,10,0.00021791548351757228,0.00032485299145086676,-6.271100044250488
naval-propulsion-plant,11,0.00024892683723010123,0.0003999454253794129,-6.172720432281494
naval-propulsion-plant,12,0.0002255733561469242,0.0003325599478734725,-6.231047630310059
naval-propulsion-plant,13,0.00028967001708224416,0.0004749574118228316,-6.0464768409729
naval-propulsion-plant,14,0.00022924019140191376,0.0003648250293888336,-6.261185169219971
naval-propulsion-plant,15,0.0002655852003954351,0.000452044140933481,-6.16644287109375
naval-propulsion-plant,16,0.00032007525442168117,0.0005103203909087765,-5.942572593688965
naval-propulsion-plant,17,0.0002356239128857851,0.00033488944855706,-6.1831488609313965
naval-propulsion-plant,18,0.00023187545593827963,0.0003621260559698914,-6.234585285186768
naval-propulsion-plant,19,0.0002506716991774738,0.0003859785099480176,-6.14481782913208
energy,0,0.2048313468694687,0.39572425853633997,0.38016363978385925
energy,1,0.22734029591083527,0.4944994682718008,0.6260597705841064
energy,2,0.19826044142246246,0.3761957495729652,0.35568395256996155
energy,3,0.23987911641597748,0.48060816781242655,0.4607214033603668
energy,4,0.2321787029504776,0.4478628677025952,0.5297155976295471
energy,5,0.25783130526542664,0.4895424994896869,0.5795920491218567
energy,6,0.21506951749324799,0.3945589716774858,0.4055214524269104
energy,7,0.2329424023628235,0.44906666710605153,0.49161505699157715
energy,8,0.2577364444732666,0.5470587285540581,0.5730544328689575
energy,9,0.2401440292596817,0.45806622488553145,0.48235711455345154
energy,10,0.20589500665664673,0.37057448748936767,0.38684558868408203
energy,11,0.21200165152549744,0.4290227950549011,0.3870851993560791
energy,12,0.2568792700767517,0.55751119431346,0.5124917030334473
energy,13,0.2270803302526474,0.4240448744673367,0.46082502603530884
energy,14,0.2762710154056549,0.538821899236503,0.6105291247367859
energy,15,0.20430371165275574,0.39812561993273704,0.3626386821269989
energy,16,0.2787933945655823,0.5639940923066882,0.6495822072029114
energy,17,0.21144242584705353,0.395068171539658,0.44165509939193726
energy,18,0.29848724603652954,0.6339621990694826,0.6311513185501099
energy,19,0.23995369672775269,0.4507350706250543,0.5500341653823853
protein-tertiary-structure,0,2.4320778846740723,4.727246246063648,2.5924265384674072
protein-tertiary-structure,1,2.383465051651001,4.692356492999808,2.5977494716644287
protein-tertiary-structure,2,2.4178152084350586,4.723998529781206,2.597285032272339
protein-tertiary-structure,3,2.4288218021392822,4.703476395264003,2.625061511993408
protein-tertiary-structure,4,2.369969367980957,4.652792446942082,2.5678861141204834
