dataset,split,rmse,nll
wine-quality-red,19,0.6520943104920532,-3.2862696991069584
power-plant,0,4.086768776752671,2.632689855833708
power-plant,1,3.6826044484278357,2.6303538172131757
power-plant,2,3.9027684165420338,2.656238006698941
power-plant,3,4.148192147411756,2.6470985059066106
power-plant,4,4.1719738611872765,2.7155699970213996
power-plant,5,3.9211317974995668,2.6200315472780202
power-plant,6,3.7996172318733494,2.6815170534573882
power-plant,7,3.7113962805794856,2.6328888905922017
power-plant,8,4.081627535073011,2.651058730269131
power-plant,9,3.950697949838598,2.6470606889857646
power-plant,10,3.800656231082695,2.6314108368079783
power-plant,11,4.099359734575232,2.7126771930819213
power-plant,12,3.7518241322285304,2.669941141581393
power-plant,13,3.963496815844281,2.6769962207652247
power-plant,14,3.825050221241928,2.6284884855021717
power-plant,15,3.723217381338102,2.624172024135089
power-plant,16,3.7925599814444135,2.63148788501111
power-plant,17,3.8955907391007423,2.6441976911864167
power-plant,18,4.076478873549708,2.6495686599515453
power-plant,19,4.241207904059839,2.6695221230672486
concrete,0,6.215528126401339,3.1087912420256556
concrete,1,5.892646403503489,2.963751550029181
concrete,2,5.315145284206139,2.986658535081527
concrete,3,6.700677964585727,3.248193887768858
concrete,4,6.465699280228936,3.2870411739468413
concrete,5,6.786461108769698,3.2347863935926275
concrete,6,6.364701885510975,3.344615942518114
concrete,7,5.4340235439713,3.060777761148311
concrete,8,5.3524218593344,3.061986555218251
concrete,9,5.986363944834083,3.298367365107675
concrete,10,5.448801019850821,2.9429730748176626
concrete,11,5.616932297177363,3.080857367365681
concrete,12,5.777677168590591,2.992156178886457
concrete,13,5.467483422286962,2.9554168686417253
concrete,14,6.997371088558162,3.2112634549486696
concrete,15,5.577916327592976,2.81723115199577
concrete,16,6.240667557097459,3.4365539404987446
concrete,17,5.783818181511519,3.0830340487368546
concrete,18,6.502121848310034,3.3450635251348477
concrete,19,5.9563212900271045,3.1333209127284074
yacht,0,1.0416453599272781,0.06966413450311132
yacht,1,1.2770118261348018,-0.14506697647288141
yacht,2,1.5246651979610404,0.4486453087050351
yacht,3,1.5739785994332383,0.6565065302026923
yacht,4,2.5940527932858832,-0.0023757872754118243
yacht,5,0.9214218679291524,-0.06817748506522196
yacht,6,0.7768356580829824,-0.0675994923226958
yacht,7,2.5886624612674165,0.19586372043296676
yacht,8,1.0720178445076072,0.108548398769074
yacht,9,1.2316552851526457,-0.08312284522863411
yacht,10,4.441003128040909,1.3283113916136315
yacht,11,1.7384813168097972,0.19046833370529725
yacht,12,2.168208501879858,0.4703610517691261
yacht,13,2.097632281632257,0.6032976861460582
yacht,14,2.089673882042875,0.5335230715255219
yacht,15,1.510124060259869,0.03503684925112581
yacht,16,0.8450904974053538,-0.4068201063020286
yacht,17,2.878890080874896,0.19238451552637123
yacht,18,2.0529211468056263,0.14098174463250093
yacht,19,4.95701794037324,1.0335579511718664
naval-propulsion-plant,0,0.0003744476196778056,-6.34685248759171
naval-propulsion-plant,1,0.0005877969656590535,-6.074324790415454
naval-propulsion-plant,2,0.0003828938414579363,-6.36806092517529
naval-propulsion-plant,3,0.000631948402588413,-6.105492145282481
naval-propulsion-plant,4,0.0004388572108128194,-6.370427484125159
naval-propulsion-plant,5,0.00046251825974813926,-6.165488607530368
naval-propulsion-plant,6,0.0005594015913832253,-6.136610709603048
naval-propulsion-plant,7,0.0007811431893664942,-5.991508276284358
naval-propulsion-plant,8,0.0006135867695662944,-6.1444288772385525
naval-propulsion-plant,9,0.000389940325628519,-6.424503736489638
naval-propulsion-plant,10,0.0003739479871829576,-6.4924986268031475
naval-propulsion-plant,11,0.0006798467467921067,-6.016200889476756
naval-propulsion-plant,12,0.0005798097159881369,-6.2726080948537355
naval-propulsion-plant,13,0.0005028468807447021,-6.2596456782353185
naval-propulsion-plant,14,0.0002977871247316121,-6.597493430442397
naval-propulsion-plant,15,0.00032574757587509667,-6.450209511739731
naval-propulsion-plant,16,0.0004947035143877092,-6.0793767700302705
naval-propulsion-plant,17,0.00048558909260707763,-6.089879745504791
naval-propulsion-plant,18,0.0004278873953573272,-6.196585634183866
naval-propulsion-plant,19,0.00040395076737065046,-6.224782282256327
energy,0,1.439343431759164,0.7334248266338035
energy,1,1.507757411599566,1.0922601753267291
energy,2,0.7757001042487606,0.575014165705317
energy,3,0.9587171942235635,0.8124035594491956
energy,4,0.8333413994934707,0.8973463424757704
energy,5,1.2780808994022144,0.9080955604865157
energy,6,1.7291314776198878,0.7582671194810489
energy,7,1.670757619197551,0.7989472267850187
energy,8,1.2106167081447812,0.7537924359092906
energy,9,0.9310223262851729,0.2969844898153235
energy,10,1.1779864669793274,0.6206287508758771
energy,11,0.6559216801605138,0.8374424343000907
energy,12,0.7625147129178068,0.44688576359727333
energy,13,1.8415166210603768,1.02868786599276
energy,14,1.9123091075888814,1.0279138370408467
energy,15,0.9634898521632415,0.7701415139107817
energy,16,0.970242171458906,0.8745026690082663
energy,17,0.6227586236065726,0.8334237541095626
energy,18,0.9160482021885025,0.6644952886245434
energy,19,1.2237542557967178,0.7471669970811727
protein-tertiary-structure,0,3.9758678969565913,2.0071336610135257
protein-tertiary-structure,1,4.005626683169936,1.997663441622381
protein-tertiary-structure,2,3.8847051825673766,1.9709963412607663
protein-tertiary-structure,3,3.9763587763186314,2.014748351605258
protein-tertiary-structure,4,3.970943326144473,1.988559078432947
